system,dataset,topk,param,recall@10,e2e_ms,p99_ms,notes,protocol
BoundFetch,coco_100k,10,"nlist=2048,nprobe=50,alpha=0.1",0.8068,0.743,1.001,alpha=0.1 baseline,warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=100,alpha=0.1",0.8781,1.117,1.513,alpha=0.1 baseline,warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=150,alpha=0.1",0.8984,1.336,2.000,alpha=0.1 baseline,warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.1",0.9021,1.409,2.493,alpha=0.1 baseline,warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=250,alpha=0.1",0.9024,1.397,2.744,alpha=0.1 baseline,warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=300,alpha=0.1",0.9025,1.393,2.824,alpha=0.1 baseline,warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=500,alpha=0.1",0.9025,1.403,2.773,alpha=0.1 baseline,warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.05",0.9346,1.511,1.855,OPTIMAL,warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.01,clu_mode=window",0.9640,3.9670,4.8430,"low-load retest; preload_time_ms=0; preload_bytes=0",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.01,clu_mode=full_preload",0.9640,2.3660,2.8300,"low-load retest; preload_time_ms=68.091; preload_bytes=120459264",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.02,clu_mode=window",0.9551,3.8560,4.9230,"low-load retest; preload_time_ms=0; preload_bytes=0",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.02,clu_mode=full_preload",0.9551,2.3440,2.8340,"low-load retest; preload_time_ms=68.215; preload_bytes=120459264",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.05,clu_mode=window",0.9346,2.4750,3.2250,"low-load retest; preload_time_ms=0; preload_bytes=0",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.05,clu_mode=full_preload",0.9346,1.6090,1.9460,"low-load retest; preload_time_ms=68.014; preload_bytes=120459264",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.10,clu_mode=window",0.9021,2.3390,4.2840,"low-load retest; preload_time_ms=0; preload_bytes=0",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.10,clu_mode=full_preload",0.9021,1.4580,2.7170,"low-load retest; preload_time_ms=68.569; preload_bytes=120459264",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.15,clu_mode=window",0.8180,1.2780,1.8430,"low-load retest; preload_time_ms=0; preload_bytes=0",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.15,clu_mode=full_preload",0.8180,0.8310,1.0180,"low-load retest; preload_time_ms=68.268; preload_bytes=120459264",warm
BoundFetch,coco_100k,10,"nlist=2048,nprobe=200,alpha=0.20,clu_mode=window",0.7578,1.0420,1.4880,"low-load retest; preload_time_ms=0; preload_bytes=0",warm
